main_category,subcategory,leaf_category,url,scrape_status,last_scraped,items_found,pages_scraped,errors,notes
Electronics,Mobiles,Smartphones,,,,,,,
Electronics,Mobiles,Mi,"https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy,4io",verified,,,,,Matched 'Mi' score=0.85
Electronics,Mobiles,Realme,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DRealme,verified,,,,,auto-matched 'Realme' score=0.75
Electronics,Mobiles,Samsung,https://www.flipkart.com/televisions/samsung~brand/pr?sid=ckf%2Cczl,verified,2026-06-07T17:58:14,,,HTTP 200 but no product cards found,URL found by discover_categories on 2026-06-07
Electronics,Mobiles,Infinix,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DInfinix,verified,,,,,auto-matched 'Infinix' score=0.75
Electronics,Mobiles,OPPO,https://www.flipkart.com/oppo-mobile-phones-store,failed,2026-06-10T15:44:17,,,HTTP 200 but no product cards found,auto-matched 'OPPO' score=1.00
Electronics,Mobiles,Apple,https://www.flipkart.com/search?q=apple+mobiles&sid=tyy%2C4io&as,verified,,,,,
Electronics,Mobiles,Vivo,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.serviceability%5B%5D%3Dfalse&p%5B%5D=facets.brand%255B%255D%3DVivo,verified,,,,,auto-matched 'Vivo' score=0.75
Electronics,Mobiles,Honor,https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io,verified,,,,,auto-matched 'Honor' score=0.75
Electronics,Mobiles,Asus,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus,verified,,,,,auto-matched 'Asus' score=0.75
Electronics,Mobiles,Poco,,,,,,,
Electronics,Mobiles,realme ,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DRealme,url_found,,,,,auto-matched 'Realme' score=0.75
Electronics,Mobiles,Infinix ,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DInfinix,url_found,,,,,auto-matched 'Infinix' score=0.75
Electronics,Mobiles,IQOO 3,https://www.flipkart.com/search?q=iqoo,verified,,,,,auto-matched 'IQOO 3' score=0.75
Electronics,Mobiles, iPhone ,,,,,,,
Electronics,Mobiles,Motorola ,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&p%5B%5D=facets.brand%255B%255D%3DMotorola,verified,,,,,auto-matched 'Motorola' score=0.75
Electronics,Mobiles,Feature Phones,https://www.flipkart.com/mobiles/feature-phones~type/pr?sid=tyy%2C4io,verified,2026-06-07T17:58:12,,,HTTP 200 but no product cards found,URL found by discover_categories on 2026-06-07
Electronics,Mobiles,Motorola ,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&p%5B%5D=facets.brand%255B%255D%3DMotorola,url_found,,,,,auto-matched 'Motorola' score=0.75
Electronics,Mobile Accessories,Mobile Cases,https://www.flipkart.com/mobile-accessories/cases-and-covers/pr?sid=tyy,4mr,,,,,
Electronics,Mobile Accessories,Headphones & Headsets,https://www.flipkart.com/headphones-store,failed,2026-06-10T15:43:57,,,HTTP 200 but no product cards found,auto-matched 'Headphones & Headsets' score=0.87
Electronics,Mobile Accessories,Power Banks,https://www.flipkart.com/mobile-accessories/power-banks/urbn~brand/pr?sid=tyy%2C4mr%2Cfu6,verified,,,,,URL found by discover_categories on 2026-06-07
Electronics,Mobile Accessories,Screenguards,https://www.flipkart.com/mobile-accessories/screen-guards/pr?sid=tyy%2C4mr%2Clrv,verified,,,,,auto-matched 'Screenguards' score=0.75
Electronics,Mobile Accessories,Memory Cards,"https://www.flipkart.com/mobile-accessories/memory-cards-readers/memory-cards/pr?sid=tyy,4mr,zzf,7y7",url_found,,,,,Matched 'Memory Cards' score=0.85
Electronics,Mobile Accessories,Smart Headphones,"https://www.flipkart.com/wearable-smart-devices/smart-headphones/pr?sid=ajy,vam",verified,,,,,Matched 'Smart Headphones' score=0.85
Electronics,Mobile Accessories,Mobile Cables,https://www.flipkart.com/mobile-accessories/cables/pr?sid=tyy%2C4mr%2C3nu,verified,,,,,auto-matched 'Mobile Cables' score=0.99
Electronics,Mobile Accessories,Mobile Chargers,https://www.flipkart.com/mobile-accessories/chargers/pr?sid=tyy%2C4mr%2Ctp2,url_found,,,,,auto-matched 'Mobile Chargers' score=0.99
Electronics,Mobile Accessories,Mobile Holders,"https://www.flipkart.com/mobile-accessories/mobile-holders/pr?sid=tyy,4mr,vnf",verified,,,,,Matched 'Mobile Holders' score=0.85
Electronics,Smart Wearable Tech,Smart Watches,https://www.flipkart.com/wearable-smart-devices/smart-watches/pr?sid=ajy%2Cbuh,verified,,,,,URL found by discover_categories on 2026-06-07
Electronics,Smart Wearable Tech,Smart Glasses (VR),https://www.flipkart.com/wearable-smart-devices/smart-glasses/pr?sid=ajy%2Ctcy,verified,,,,,auto-matched 'Smart Glasses (VR)' score=0.99
Electronics,Smart Wearable Tech,Smart Bands,"https://www.flipkart.com/wearable-smart-devices/smart-bands/pr?sid=ajy,q7p",verified,,,,,Matched 'Smart Bands' score=0.85
Electronics,Healthcare Appliances,Bp Moniters,,,,,,,
Electronics,Laptops,Gaming Laptops,https://www.flipkart.com/search?q=apple+mobiles&sid=tyy%2C4io&as=on&as-show=on&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&as-pos=1&as-type=RECENT&suggestionId=apple+mobiles%7CMobiles&requestId=74513d15-9fcc-41ea-a7e0-16499e689ee3&as-backfill=on&otracker=nmenu_sub_Electronics_0_Apple,verified,,,,,
Electronics,,Desktop PCs,https://www.flipkart.com/desktop-pc-store,failed,2026-06-10T15:43:11,,,HTTP 200 but no product cards found,auto-matched 'Desktop PCs' score=0.99
Electronics,,Gaming & Accessories,"https://www.flipkart.com/gaming/gaming-accessories/pr?sid=4rr,km5",verified,,,,,Matched 'Gaming Accessories' score=0.82
Electronics,Computer Accessories,ExternalHard Disks,,,,,,,
Electronics,Computer Accessories,Pendrives,https://www.flipkart.com/computers/storage/pen-drives/pr?sid=6bo%2Cjdy%2Cuar,verified,,,,,auto-matched 'Pendrives' score=0.75
Electronics,Computer Accessories,Laptop Skins & Decals,"https://www.flipkart.com/laptop-accessories/laptop-skins-decals/pr?sid=6bo,ai3,zvm",verified,,,,,Matched 'Laptop Skins & Decals' score=0.85
Electronics,Computer Accessories,Laptop Bags,"https://www.flipkart.com/laptop-accessories/laptop-bags/pr?sid=6bo,ai3,qq9",url_found,,,,,Matched 'Laptop Bags' score=0.85
Electronics,Computer Accessories,Mouse,"https://www.flipkart.com/laptop-accessories/mouse/pr?sid=6bo,ai3,2ay",verified,,,,,Matched 'Mouse' score=0.85
Electronics,Computer Peripherals,Printers & Ink Cartridges,https://www.flipkart.com/printer-inks-store,failed,2026-06-10T15:43:05,,,HTTP 200 but no product cards found,auto-matched 'Printers & Ink Cartridges' score=0.75
Electronics,Computer Peripherals,Monitors,"https://www.flipkart.com/computers/monitors/pr?sid=6bo,hnn",verified,,,,,Matched 'Bp Monitors' score=0.76
Electronics,Tablets,Apple iPads,"https://www.flipkart.com/tablets/~apple-ipads/pr?sid=tyy,hry",verified,,,,,Matched 'Apple iPads' score=0.85
Electronics,Speakers,Home Audio Speakers,https://www.flipkart.com/audio-video/speakers/pr?count=40&p%5B%5D=facets.type%255B%255D%3DHome%2BAudio%2BSpeaker&p%5B%5D=facets.type%255B%255D%3DLaptop%252FDesktop%2BSpeaker&p%5B%5D=facets.type%255B%255D%3DSoundbar&sid=0pm%2F0o7,verified,,,,,auto-matched 'Home Audio Speakers' score=0.91
Electronics,Speakers,Home Theatres,https://www.flipkart.com/audio-video/speakers/pr?sid=0pm%2C0o7&p%5B%5D=facets.type%255B%255D%3DHome%2BTheatre&p%5B%5D=facets.type%255B%255D%3DTower%2BSpeaker&p%5B%5D=facets.type%255B%255D%3DSoundbar&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock,verified,,,,,auto-matched 'Home Theatres' score=0.75
